model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
xgboost,static,static,0.6530493520000004,0.9500691480000001,68.88871699025383,66.57696548128267,16.92788096365767,0.4806369510354057,3
lightgbm,static,static,0.6305296784000008,0.9579760072000004,69.52446671155825,67.5667008993034,17.023866936788437,0.4970771052294929,2
lightgbm,periodic,60,0.4747209908000001,0.9849490319999998,69.58387282449468,60.102784555495965,16.361089865086736,0.5849111076212508,8
lightgbm,periodic,30,0.37571702960000025,0.9821019563999996,70.27958346573742,61.292136564719215,16.475574991863617,0.575586320575787,9
xgboost,static,static,0.5327416416,0.8597294739999999,71.01975785652425,63.246549513014266,16.44904516756411,0.4806369510354057,3
lightgbm,static,static,0.198144046,0.7543766923999997,71.09610691314441,52.46214098878898,15.220822007914949,0.4970771052294929,2
lightgbm,periodic,90,0.5126674544000002,0.9850747667999998,72.51071844634629,65.10949530747686,16.84300670552669,0.5599790432242554,7
lightgbm,periodic,30,0.16415327159999996,0.7625479459999985,73.16412136942361,59.63433632780034,16.011056971337684,0.575586320575787,9
xgboost,periodic,60,0.3312895928,0.8166706215999999,73.65159545017906,61.284061742190175,16.192686115821253,0.5369770874552252,9
tree,static,static,0.6501569,0.85832757,75.02635904388254,62.19328051364138,16.278949807343537,0.3471017186739269,1
xgboost,periodic,30,0.2926189079999999,0.7987268239999995,75.92190227300502,63.0147043842416,16.361154809098814,0.528737951919904,10
xgboost,periodic,60,0.5628901000000008,0.9795413463999998,76.07854494832893,73.2361382926205,17.610345735215173,0.5369770874552252,9
lightgbm,periodic,90,0.25979680439999986,0.8195049055999994,76.1726452547045,62.96565094078929,16.352425657261982,0.5599790432242554,7
xgboost,periodic,90,0.5975063680000001,0.9825915040000001,76.76942827314497,74.07238002765438,17.6933798616626,0.5221895821524528,8
xgboost,periodic,30,0.5214823064000002,0.9750373456,76.90208307731132,74.46229126973323,17.729710709804163,0.528737951919904,10
lightgbm,static,static,0.35957344,0.8614585239999999,78.74490846164312,66.44056360063846,16.71561077632375,0.4970771052294929,2
xgboost,static,static,0.6530493520000004,0.9851027159999999,78.94465302087752,77.8013837394521,18.052252412241568,0.4806369510354057,3
xgboost,periodic,90,0.36076714399999954,0.8233074819999998,79.08212874334124,66.4557249144278,16.713104925076692,0.5221895821524528,8
tree,static,static,0.46485996,0.85832757,79.08960126770941,64.9453210738185,16.541162657216077,0.3471017186739269,1
lightgbm,static,static,0.6305296784000008,0.989012444,80.00639369493825,78.97600897110442,18.165790296563436,0.4970771052294929,2
xgboost,static,static,0.26101152,0.7541437687999999,81.5082231347638,61.02895592929133,16.065118941978653,0.4806369510354057,3
lightgbm,periodic,30,0.1180461,0.7625479459999985,85.10924026315203,67.71979855565796,16.78134057950863,0.575586320575787,9
lightgbm,periodic,60,0.17080683,0.8158383256,88.55185594516615,69.27015169349829,16.91458226770399,0.5849111076212508,8
xgboost,static,static,0.42234131599999997,0.8597294739999999,90.92284423375176,76.71966121587094,17.732616665792627,0.4806369510354057,3
lightgbm,periodic,30,0.2397558776,0.9308587964000007,92.40611793444494,83.58119211840842,18.494852891488797,0.575586320575787,9
lightgbm,periodic,60,0.3245513496,0.9384870448000009,92.61081244081102,84.22139854084799,18.565141982579558,0.5849111076212508,8
xgboost,periodic,60,0.4291320688,0.9337740240000006,96.77881998129405,87.69178909112027,18.907790923837197,0.5369770874552252,9
lightgbm,periodic,90,0.19470406,0.8195049055999994,97.24229098605264,77.22734577172258,17.711103834066947,0.5599790432242554,7
lightgbm,periodic,90,0.36427646720000006,0.9399534288,97.81947553480492,88.88035822574844,19.02999682093478,0.5599790432242554,7
xgboost,periodic,30,0.38715403080000027,0.9250720020000003,99.28211930907602,90.2167018760629,19.16372713915023,0.528737951919904,10
xgboost,periodic,30,0.2319671,0.7987268239999995,99.28819848041705,78.83015737431865,17.867840533911945,0.528737951919904,10
tree,static,static,0.74862343,0.8951512,99.85600779472851,88.4531996097751,18.955863943142543,0.3471017186739269,1
tree,static,static,0.74862343,0.85832757,100.24462490067707,79.22899069915702,17.901258931671133,0.3471017186739269,1
tree,static,static,0.3926696,0.85832757,104.04654324124843,81.8391683677501,18.150615410615913,0.3471017186739269,1
lightgbm,static,static,0.48040240640000004,0.9579760072000004,105.98974949760543,95.72858916079645,19.706841250923546,0.4970771052294929,2
xgboost,periodic,60,0.26052362,0.8166706215999999,106.25814301679814,83.3541367352196,18.295235243367753,0.5369770874552252,9
lightgbm,periodic,60,0.12073507600000001,0.8158383256,107.54726167120548,82.12665397722839,18.13936981179114,0.5849111076212508,8
xgboost,periodic,90,0.46188629480000026,0.9358547480000023,108.84689673303924,96.79133293743246,19.791936924074836,0.5221895821524528,8
lightgbm,periodic,30,0.0814797848,0.7625479459999985,109.98188647727333,84.5548709706858,18.385163412854567,0.575586320575787,9
xgboost,periodic,90,0.28519258,0.8233074819999998,111.62738936425183,88.48442170364184,18.811714105678455,0.5221895821524528,8
lightgbm,static,static,0.27405822,0.8614585239999999,115.69580211175636,91.45131352855753,19.098312004728445,0.4970771052294929,2
