feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
V201,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.02126030602116051,46,56,38,12636.431181907654,12,0.5980022349550745,-0.000547820837674684,0.029276388883426,8.763246552388694,58.0,183.0,False,False,low_priority
V140,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.04332210031535355,0.0819966314629576,34,16,28,11938.094935417175,56,,0.0,0.0819966314629576,7.724004018920539,61.0,54.0,False,False,low_priority
ProductCD_freq,0.0,0.0,0.0,0.0,0.0,0.09646718483647734,0.0645980481141554,5,5,5,11216.758337020874,69,,0.0,0.09646718483647734,0.0,62.0,54.0,False,False,low_priority
V262,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010280342978116239,0.026325318177912505,21,8,13,10809.73031616211,49,,0.0,0.026325318177912505,8.953709841033302,64.0,54.0,False,False,low_priority
id_05,74.69652473039203,83.3824409297705,80.19214052674954,8.685916199378468,5.495615796357512,0.028684367747925092,0.0400414635681046,89,74,79,10777.178005218506,190,,0.0,0.0400414635681046,8.685916199378468,65.0,54.0,False,False,low_priority
V38,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.0090103351474774,0.0051795003383713345,55,43,31,10582.719959259033,82,,0.0,0.0090103351474774,4.638853543246132,66.0,54.0,False,False,low_priority
M6_label,0.0,0.0,0.0,0.0,0.0,0.09712076094196276,0.06656116012463176,3,3,3,10414.866968154907,104,,0.0,0.09712076094196276,0.0,67.0,54.0,False,False,low_priority
card4_label,0.0,0.0,0.0,0.0,0.0,0.012873251318002765,0.012647469265418099,5,5,5,9753.203035354614,124,,0.0,0.012873251318002765,0.0,68.0,54.0,False,False,low_priority
dist2,92.94737504172936,95.3387295243901,95.09601381786162,2.391354482660745,2.148638776132259,0.06075421501669598,0.06023784157059653,1598,598,556,9139.718961715698,191,,0.0,0.06075421501669598,2.391354482660745,69.0,54.0,False,False,low_priority
V156,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,17,6,25,9033.920075416565,43,,0.0,0.0819966314629576,7.724004018920539,70.0,54.0,False,False,low_priority
id_14,84.57634416925913,92.08859687743421,89.52597058059854,7.512252708175083,4.949626411339409,0.03224581468941995,0.0858137015056819,25,18,17,8974.047323226929,134,,0.0,0.0858137015056819,7.512252708175083,71.0,54.0,False,False,low_priority
id_06,74.69652473039203,83.3824409297705,80.19214052674954,8.685916199378468,5.495615796357512,0.043289339966879725,0.034745857679327474,100,89,84,8244.470711708069,143,,0.0,0.043289339966879725,8.685916199378468,72.0,54.0,False,False,low_priority
R_emaildomain_freq,0.0,0.0,0.0,0.0,0.0,0.07253317077025545,0.0410817308452151,54,49,52,7699.468132019043,86,,0.0,0.07253317077025545,0.0,75.0,54.0,False,False,low_priority
V149,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,16,6,21,7649.214714050293,37,,0.0,0.0819966314629576,7.724004018920539,76.0,54.0,False,False,low_priority
card4_freq,0.0,0.0,0.0,0.0,0.0,0.009955321682979423,0.01255091808627129,5,5,5,7424.888323307037,94,,0.0,0.01255091808627129,0.0,78.0,54.0,False,False,low_priority
V94,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.02710707445347149,0.012593333708722732,2,3,3,7192.840385437012,17,,0.0,0.02710707445347149,6.755076467543024,79.0,54.0,False,False,low_priority
V37,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.009988227612523826,0.002501357244905633,55,22,17,6325.841437339783,55,,0.0,0.009988227612523826,4.638853543246132,81.0,54.0,False,False,low_priority
id_18,91.76951845526371,94.25384676172091,93.2265384224608,2.4843283064572006,1.4570199671970983,0.06723861305656686,0.08198026335126235,18,12,12,5930.066294670105,70,,0.0,0.08198026335126235,2.4843283064572006,82.0,54.0,False,False,low_priority
DeviceType_freq,0.0,0.0,0.0,0.0,0.0,0.0885890111875007,0.055274869328637066,3,3,3,5446.859329223633,30,,0.0,0.0885890111875007,0.0,83.0,54.0,False,False,low_priority
V74,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.02341703750794666,0.0006788208922599015,9,6,8,5389.777018547058,50,,0.0,0.02341703750794666,7.472015120946607,84.0,54.0,False,False,low_priority
id_32,85.04758356758221,92.37759790474254,89.81271378738104,7.3300143371603355,4.765130219798834,0.07950599260384406,0.07670146502493913,4,3,4,5243.780181884766,29,,0.0,0.07950599260384406,7.3300143371603355,86.0,54.0,False,False,low_priority
V58,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03719221192560351,0.020674961231198163,8,8,11,5120.7963008880615,21,,0.0,0.03719221192560351,7.472015120946607,87.0,54.0,False,False,low_priority
id_09,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.008355374964539641,0.02184488329299572,40,26,33,5006.256153106689,42,,0.0,0.02184488329299572,4.294455276607195,89.0,54.0,False,False,low_priority
D9,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.03801462105746878,0.0492939410048423,24,24,24,4875.999125480652,111,,0.0,0.0492939410048423,4.294455276607195,90.0,54.0,False,False,low_priority
D12,88.56034912356246,90.88179180636932,89.44356013140515,2.321442682806861,0.8832110078426894,0.05593992676376025,0.07799349786149323,583,548,546,4703.391193389893,61,,0.0,0.07799349786149323,2.321442682806861,91.0,54.0,False,False,low_priority
V86,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.003068374609155322,0.0009968924008658675,31,20,12,4482.041186332703,62,,0.0,0.003068374609155322,6.755076467543024,92.0,54.0,False,False,low_priority
addr2,11.495048115768135,10.047301340016482,10.485318522030685,1.4477467757516536,1.0097295937374504,0.0036276676162866105,0.005131584439988398,67,16,22,4467.482327461243,27,,0.0,0.005131584439988398,1.4477467757516536,93.0,54.0,False,False,low_priority
C7,0.0,0.0,0.0,0.0,0.0,0.015401183380183148,0.012409571183436663,1097,63,51,3981.8571672439575,20,,0.0,0.015401183380183148,0.0,94.0,54.0,False,False,low_priority
C3,0.0,0.0,0.0,0.0,0.0,0.0017499788329325972,0.0015012827242861793,23,10,12,3874.8512921333313,43,,0.0,0.0017499788329325972,0.0,95.0,54.0,False,False,low_priority
V64,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03711591316608809,0.005785135154642074,8,8,8,3838.863203048706,26,,0.0,0.03711591316608809,7.472015120946607,96.0,54.0,False,False,low_priority
V170,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.031205846093808998,0.021384941539845576,49,38,45,3762.2195205688477,49,,0.0,0.031205846093808998,8.763246552388694,97.0,54.0,False,False,low_priority
id_03,88.10604337918322,91.58848963095923,89.04279698806742,3.482446251776011,0.936753608884203,0.003895023967367739,0.011728246491347072,23,16,14,3686.241163253784,39,,0.0,0.011728246491347072,3.482446251776011,98.0,54.0,False,False,low_priority
D7,93.52989273739773,94.54058996850341,91.71944322145833,1.0106972311056808,1.8104495159393963,0.08817256564945092,0.08130148697196393,549,417,416,3651.2340059280396,40,,0.0,0.08817256564945092,1.8104495159393963,99.0,54.0,False,False,low_priority
V44,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.0038568288448906918,0.0017268798405895014,49,34,15,3478.45675945282,47,,0.0,0.0038568288448906918,4.638853543246132,100.0,54.0,False,False,low_priority
V47,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.00748841997435179,0.003874687946462174,9,6,7,3374.132227420807,29,,0.0,0.00748841997435179,4.638853543246132,101.0,54.0,False,False,low_priority
V217,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.01994219510545603,0.06680770570560701,54,37,304,2903.5500812530518,27,,0.0,0.06680770570560701,8.953709841033302,102.0,54.0,False,False,low_priority
missing_core_count,0.0,0.0,0.0,0.0,0.0,0.0747520142581366,0.05816832249579479,7,6,7,2810.8761501312256,31,,0.0,0.0747520142581366,0.0,103.0,54.0,False,False,low_priority
V52,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.027615392074067047,0.010507353936386132,9,6,7,2751.725128173828,24,,0.0,0.027615392074067047,4.638853543246132,104.0,54.0,False,False,low_priority
