model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
lightgbm,periodic,14,valid,2,18622,0.033293953388465254,0.49414640876261556,0.5887096774193549,0.3920515574650913,12.729240360970895,0.5872825354766914,0.4615763027919701,4.063247346000026,1,cpu,0.004583078345941963,0.02354154999463017
lightgbm,periodic,14,valid,3,18646,0.03233937573742358,0.511843346579681,0.5970149253731343,0.38626609442060084,11.058073424112411,0.6083172291431678,0.46225434433776996,4.0164061360000005,1,cpu,0.010152657241235432,0.024139268583077626
lightgbm,periodic,14,valid,4,9274,0.031917187836963554,0.5556943681451966,0.6081081081081081,0.38876889848812096,10.297445734310976,0.543584267630894,0.5822513584671339,3.666605575999938,1,cpu,0.049339244497219104,0.02706411667026685
lightgbm,periodic,14,holdout,0,21975,0.030716723549488054,0.5863994536316498,0.6325925925925926,0.3888888888888889,11.776286111672354,0.583882260927848,0.5956682413138235,3.751571087000002,1,cpu,0.030914611490156025,0.022569147758815494
lightgbm,periodic,14,holdout,1,20656,0.030644848954298993,0.47133211163909594,0.6240126382306477,0.38275193798449614,11.274086819616576,0.5357504408183059,0.44562226444255243,3.5181793719999632,1,cpu,0.08023987506463777,0.022615447230826598
lightgbm,periodic,14,holdout,2,20508,0.03510825043885313,0.5042239520819388,0.5722222222222222,0.40195121951219515,13.21555181119563,0.5453446530074048,0.49994780686411416,3.8088113689999545,1,cpu,0.03940312287276789,0.023814449093035542
lightgbm,periodic,14,holdout,3,17817,0.04130886232250098,0.6579115514398708,0.65625,0.5426966292134832,17.65746557961497,0.6478490202399197,0.6665644541394391,4.261643284000002,1,cpu,0.07929135783120271,0.023018793175057475
lightgbm,periodic,14,holdout,4,7625,0.041836065573770495,0.605111391596704,0.5956112852664577,0.49868766404199477,21.58906709822951,0.6876295629287822,0.5585716279849243,3.9764422739999645,1,cpu,0.12613531038082273,0.028120703737706625
lightgbm,alert,14,valid,1,18907,0.03929761464008039,0.597765491045652,0.6083445491251682,0.4783068783068783,12.881713894853757,0.6014546875641805,0.6110116004803186,4.168465325999932,1,cpu,0.0,0.024033041836361117
lightgbm,alert,14,valid,2,18622,0.033293953388465254,0.46568726236333297,0.567741935483871,0.37808807733619765,13.238258465578348,0.4806958535686744,0.47171259081859446,0.0,0,cpu,0.001943603861538472,0.023172031844057705
