model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,alert,expanding,model,0.6,500.0,25.0,88581,3083,958147.5417825,10.816625933129,-958147.5417825,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
lightgbm,alert,expanding,model,0.8,0.0,5.0,88581,3083,826538.2941744999,9.33087562992628,-826538.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.8,0.0,10.0,88581,3083,838388.2941744999,9.46465149608268,-838388.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.8,0.0,25.0,88581,3083,873938.2941744999,9.865979094551879,-873938.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
lightgbm,alert,expanding,model,0.8,100.0,5.0,88581,3083,826638.2941744999,9.332004540189205,-826638.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.8,100.0,10.0,88581,3083,838488.2941744999,9.465780406345603,-838488.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.8,100.0,25.0,88581,3083,874038.2941744999,9.867108004814801,-874038.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
lightgbm,alert,expanding,model,0.8,500.0,5.0,88581,3083,827038.2941744999,9.336520181240898,-827038.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
lightgbm,alert,expanding,model,0.8,500.0,10.0,88581,3083,838888.2941744999,9.470296047397296,-838888.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
lightgbm,alert,expanding,model,0.8,500.0,25.0,88581,3083,874438.2941744999,9.871623645866494,-874438.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,500.0
lightgbm,alert,expanding,model,1.0,0.0,5.0,88581,3083,742829.0465665,8.385873342663777,-742829.0465665,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,0.0
